,state,value
0,California,43289
1,New York,21431
2,Texas,19440
3,Florida,17629
4,New Jersey,9640
5,Illinois,9276
6,Pennsylvania,8426
7,Georgia,8044
8,Virginia,7964
9,Ohio,7769
10,North Carolina,6948
11,Massachusetts,6163
12,Arizona,6112
13,Michigan,6026
14,Maryland,6024
15,Washington,5934
16,Colorado,5637
17,Minnesota,4474
18,Missouri,3968
19,Nevada,3832
20,Connecticut,3688
21,Oregon,3357
22,Alabama,3153
23,Wisconsin,3089
24,Louisiana,2963
25,South Carolina,2832
26,Indiana,2819
27,Tennessee,2447
28,Kentucky,2281
29,Oklahoma,2138
30,Utah,2118
31,Kansas,2085
32,Arkansas,1760
33,Hawaii,1481
34,New Mexico,1385
35,New Hampshire,1150
36,West Virginia,1143
37,Rhode Island,1092
38,District of Columbia,835
39,Montana,742
40,Delaware,670
41,Alaska,665
42,Wyoming,603
43,South Dakota,543
44,Vermont,428
45,Mississippi,425
46,Nebraska,38
47,Maine,13
48,North Dakota,8
49,Iowa,6
50,Idaho,6
